name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Medina, Luis",665622,2023,495,324,0.255,0.252,0.003,0.44,0.407,0.033,0.343,0.335,0.008,5.42,4.8,0.616
"Wentz, Joey",666214,2023,492,347,0.295,0.276,0.019,0.532,0.502,0.03,0.38,0.363,0.017,6.9,5.77,1.129
"Peterson, David",656849,2023,492,308,0.287,0.263,0.024,0.456,0.431,0.025,0.357,0.34,0.017,5.03,4.96,0.067
"Williamson, Brandon",682227,2023,491,352,0.248,0.263,-0.015,0.432,0.446,-0.014,0.321,0.334,-0.013,4.46,4.77,-0.308
"Miley, Wade",489119,2023,490,367,0.223,0.253,-0.03,0.386,0.418,-0.032,0.293,0.32,-0.027,3.14,4.33,-1.189
"Glasnow, Tyler",607192,2023,485,285,0.209,0.218,-0.009,0.347,0.392,-0.045,0.27,0.292,-0.022,3.52,3.55,-0.025
"Wainwright, Adam",425794,2023,484,387,0.345,0.326,0.019,0.573,0.562,0.011,0.414,0.401,0.013,7.4,7.35,0.046
"Urías, Julio",628711,2023,482,333,0.252,0.247,0.005,0.482,0.439,0.043,0.328,0.314,0.014,4.6,4.16,0.442
"Houser, Adrian",605288,2023,481,350,0.273,0.262,0.011,0.406,0.41,-0.004,0.318,0.316,0.002,4.12,4.21,-0.087
"Wells, Tyler",669330,2023,470,315,0.193,0.217,-0.024,0.413,0.437,-0.024,0.286,0.307,-0.021,3.64,3.96,-0.32
"McClanahan, Shane",663556,2023,469,307,0.222,0.242,-0.02,0.388,0.409,-0.021,0.295,0.313,-0.018,3.29,4.13,-0.843
"Flexen, Chris",623167,2023,466,350,0.317,0.297,0.02,0.545,0.509,0.036,0.392,0.374,0.018,6.86,6.2,0.66
"Blackburn, Paul",621112,2023,464,313,0.286,0.261,0.025,0.435,0.406,0.029,0.34,0.323,0.017,4.43,4.42,0.008
"Houck, Tanner",656557,2023,463,317,0.254,0.245,0.009,0.415,0.399,0.016,0.323,0.316,0.007,5.01,4.21,0.799
"Martinez, Nick",607259,2023,461,311,0.24,0.245,-0.005,0.354,0.385,-0.031,0.294,0.308,-0.014,3.43,3.98,-0.554
"Bradley, Taj",671737,2023,460,291,0.255,0.244,0.011,0.495,0.44,0.055,0.344,0.324,0.02,5.59,4.45,1.139
"Abbott, Andrew",671096,2023,459,294,0.244,0.227,0.017,0.425,0.394,0.031,0.32,0.306,0.014,3.87,3.93,-0.061
"Matz, Steven",571927,2023,449,316,0.263,0.252,0.011,0.405,0.381,0.024,0.316,0.304,0.012,3.86,3.87,-0.013
"Assad, Javier",665871,2023,449,311,0.231,0.259,-0.028,0.388,0.418,-0.03,0.303,0.33,-0.027,3.05,4.64,-1.594
"Germán, Domingo",593334,2023,444,290,0.207,0.238,-0.031,0.414,0.423,-0.009,0.297,0.319,-0.022,4.55,4.3,0.255
"Quantrill, Cal",615698,2023,444,344,0.279,0.291,-0.012,0.437,0.484,-0.047,0.339,0.365,-0.026,5.24,5.85,-0.613
